Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g)
Filetes de quinoa primavera,125,245,24,16,9
Abobrinha recheada,100,89,5.8,6,4
Abobrinha recheada com carne de soja,472,375,44.4,26.4,11.2
Abobrinha recheada com frango,350,361,46,13,14
Abobrinha recheada com carne moida,270,298,6.5,35,14
Salada de Quinoa,285,170,38.8,0,0
Legumes Assados (Batata doce e Berinjelas),200,197,33.7,2,4.7
Filé mignon suíno com abóbora assada,300,302,32.9,25,10.3
Peito de Frango Grelhado Refogado com Legumes,335,318,19.9,43,1.8
Salmão Grelhado com Purê de couve-flor e legumes refogados,292,400,7.9,26,15
Salmão defumado com salada de folhas verdes e molho de mostarda e mel,260,412,26.1,21.9,17
Legumes Mediterrâneos Assados com Sardinhas e Azeitonas,250,315,3.8,36.5,16.7
